Name,R,G,B,Clusters
Contrada Salvarenza Vecchie Vigne Soave Classico 2018'.png,116.54649833654292,98.39125578874514,63.105047807790534,5
Contrada Villagrande Etna Bianco 2018'.png,145.6638446738287,127.19985227725242,108.59946013648265,7
Convento Santissima Annunciata Curtefranca 2016'.png,132.24328230305582,134.17287770302576,136.4069832499974,6
Corte del Lupo Bianco 2019'.png,161.24098773724444,155.35019727849206,124.27810519488153,2
Costa del Vento Derthona 2018'.png,145.18113095135237,165.32178960332803,100.99848571957433,3
Costamolino Vermentino di Sardegna 2021'.png,152.9274722366975,167.24265569032602,151.10968617167453,2
Cóntame 2017'.png,160.80986521045276,158.65268137278017,154.4511939569942,2
Crescendo 2020'.png,127.88200454565205,108.35709410333817,93.08703911068233,5
Criseo 2019'.png,167.88385340852204,131.93871126175125,72.35796092900851,7
Critone Bianco 2020'.png,144.40217531358078,133.4631328987045,113.9938938853185,0
Crocus Vernaccia di San Gimignano Riserva 2018'.png,156.40890649750747,138.4610855880533,125.16493879981688,0
Cruna de Lago 2019'.png,131.69733571828291,146.65088596030088,152.05266115627796,6
Curtefranca Bianco 2016'.png,144.11059018935566,137.2493707227087,120.53128779940367,0
Curtefranca Bianco 2020'.png,137.41545718737666,139.9919570243093,117.83892315794311,0
Custoza 2013'.png,152.6978901926655,147.4068236329082,130.44555686985515,0
Custoza 2019'.png,157.49004611246366,150.25404047759213,123.41760465322571,0
Custoza 2020'.png,139.0333716464236,127.1907321817953,103.4583936453987,7
Custoza 2021'.png,165.17073756879458,181.53786403511356,168.93949491216216,4
Cuvée Bois Chardonnay 2019'.png,95.04993527656099,99.04896788566596,96.96055393616439,5
Cuvée Dalis 2020'.png,152.59777964617038,150.44952251014095,104.78530805563214,3
Cuvée Flora Bianco Riserva 2018'.png,124.35455407065008,114.34791157642435,109.36862467358783,1
Cuvée Secrète Umbria 2019'.png,147.49766365713637,135.35320534098344,127.00609835597598,0
Cuvée Terlaner (Classico) 2021'.png,123.44802005143086,111.51947981186981,87.95330086204906,5
Cæles Organic Catarratto 2018'.png,148.81647715732888,139.84399834643526,129.00680191645503,6
Dadà Langhe Chardonnay 2018'.png,116.98062290592476,119.28811083445903,114.92958176614165,1
Dalila Riserva 2018'.png,151.51914460259587,141.9784418591636,123.94984062969175,0
Dall'Isola Bianco 2018'.png,168.40976037498015,145.8077074444311,145.6096586451704,2
Damian Gewurztraminer 2019'.png,151.6164562334736,138.6080202114303,128.00130726424078,0
Dardinello Zibibbo 2020'.png,142.16866536534943,137.6520478398698,123.17327186512821,0
De Aetna Etna Bianco 2018'.png,178.26879902518655,162.5466448891083,108.76113420576989,3
Del Posto 2019'.png,139.06730744499225,139.8761881093419,134.0064625307302,6
Dellago Weissburgunder 2020'.png,158.81152863068934,137.14961268688512,92.20706196611388,7
Demesse Vecchie Lugana 2018'.png,170.26322182398155,141.81859442784713,105.10586633130856,3
Derthona 2018'.png,138.9819772488505,96.4691816073921,99.55629563216985,5
Derthona 2019'.png,179.47253872629858,157.35268242602876,77.2838161279198,3
Derthona 2020'.png,152.27894940329918,139.81229713931657,122.45123879468488,0
Derthona Montecitorio 2018'.png,148.70625804283543,169.83196883330086,101.66135694580804,3
Derthona Montemarzino 2018'.png,171.53813958806168,149.68121681315483,120.50384421498028,3
Derthona Quadro 2018'.png,166.79945759839302,147.26128420861897,116.4987580617118,3
Derthona Sterpi 2018'.png,149.5192690291911,167.55688891723327,105.22127041635402,3
Derthona Timorasso Colli Tortonesi 2019'.png,132.46778372679978,130.81453717861368,108.8560301228997,1
Dessimis Pinot Grigio 2020'.png,158.41637863430614,137.5829589310947,117.96681155075346,0
